AT1G01010	11118137,12820902,15029955,15010618,15108305,15173566,15282545,16504176,16547105,16524982,16720694,16552445,17339215,17448460,17447913,18650403,20736450,24377444
AT1G01010.1	11118137
AT1G01020	15010618
AT1G01020.1	16725371
AT1G01030	11118137,15010618,16603651,16709272,16944199,18650403,19324928,19435937,20736450,22995285,24377444
AT1G01030.1	11118137
AT1G01040	10556049,8948599,8787738,7982564,12101121,12324593,12297633,12225663,12417148,12376646,12573220,12747833,12725739,12857820,14972688,15024409,15314213,15469823,15851028,16033795,16111943,16096641,16040244,16141062,16144699,15821876,16214897,16428603,16500993,16699516,16682354,16810317,16889646,17090584,17182867,17164336,17337628,17369351,17442570,17558406,17675322,18003861,18208512,18550839,18650403,18632581,18632569,18625233,18799732,18842626,18997003,19221817,17071740,18551175,19155326,19307293,19436261,19816405,20106953,20409179,20462493,20439431,20621980,20870966,19649244,19953107,21123653,21330492,21295131,21378120,21589905,21685453,22439910,22474216,22589469,22802657,22902697,22846193,23110057,23268445,23313986,23424246,23399598,23457227,23194006,23886622,23847640,23941160,23934148,23921632,24018204,24092744,24137006,24204292,24531234,24670663,24769482,24731939,24717238,24784759
AT1G01040.1	
AT1G01050	15135060,15610358,15703057,18775970,22566496,23438466
AT1G01050.1	
AT1G01060	10645431,10535927,10477524,10469647,10097183,10023572,9657154,9657153,11118137,11158533,11486091,11402160,12015970,12007421,12068102,12096093,11828023,12198185,12461138,12509533,12574129,12668783,12777053,14563930,14558659,14523250,14634162,14741378,15310821,15649364,15734916,15767265,15923346,16006578,16212608,16463103,16524874,16617099,17132630,17122071,17098855,17363273,17468223,17519251,17504813,17496120,17483414,17587236,17540692,17616736,17877705,17982000,18182014,18178585,18281507,18281417,18480377,18650403,18707796,18676661,19011118,19098071,19095940,19060255,19218364,19297549,19286557,19339503,19542296,15725674,15988568,16729048,16709197,17102804,18460819,19029881,19140936,19383102,19380736,19624471,19843842,19820331,19805390,19789276,20154425,20119844,20335405,20233950,20354196,20439704,20433765,20599732,20736450,21098730,21183706,21139085,21205033,21196476,21236675,21331777,21296763,21447790,21454289,21499259,21483796,21471455,21848684,21822060,21884973,21884969,22353866,22315425,22311777,22408072,22395476,22715042,22672153,22899064,22878891,23006446,22995285,23107921,23144785,23128602,23307650,23511208,23555221,23645632,23777196,23754942,23506153,23933882,23830866,24377444,24484962,24792048
AT1G01060.1	11118137,16463103
AT1G01060.2	11118137
AT1G01060.3	
AT1G01060.4	
AT1G01070	15703057
AT1G01073	19073579
AT1G01080	14576160,15703057,18650403
AT1G01080.1	12938931,14617066,15028209,18431481,18633119
AT1G01080.2	18431481
AT1G01090	9393637,12084821,12805597,13677473,14576160,14682612,15052571,15173569,15561727,15703057,16553896,17419836,18650403,18616834,18689444,18775970,23505340,24023856
AT1G01090.1	12938931,18431481,21166475
AT1G01100	11598216,12093376,14730065,15010618,15734919,15703057,17934214,18433157,18775970,22195043
AT1G01100.1	15734919,17317660,17934214,18433157
AT1G01100.2	15734919,17317660,17934214,18433157
AT1G01100.3	17317660,17934214,18433157
AT1G01100.4	17317660,17934214,18433157
AT1G01110	15703057,16368012,17551672
AT1G01115	19073579
AT1G01120	10074711,11341960,12753585,15070782,18465198,18650403,20736450,22284369,23505340
AT1G01120.1	15821981,16765910
AT1G01130	15703057,20226671
AT1G01140	11230129,12805596,12045290,14730064,15574398,15703057,16146321,16214899,16673935,17397506,17551672,18650403,18775970,17486125,20870959,21477822,23109687
AT1G01140.1	17397506
AT1G01140.2	17397506
AT1G01140.3	17397506
AT1G01150	15703057,16481336
AT1G01160	12974814,15326298,15703057,17182867,19648231,22589469,22669825,24355747
AT1G01160.1	
AT1G01170	15703057,16055634,17059406,17432890
AT1G01170.1	15276431,17432890,18643972
AT1G01170.2	17432890,18643972
AT1G01180	12101121,15703057,16520461
AT1G01183	15200956,18794352,19054365,17549070,19704656,19879265,20410882,21483759,21558378,21610018,22476466,22589131,22951404,23292599,23645346,23918970,23935517,24296072
AT1G01183.1	15200956,16006579,16081530,16889646,17109148,17237362,17293570,17395603,18416839
AT1G01190	15280363,15546358,15703057,16520461,15604721,18650403,20736450,23610218,23733073
AT1G01200	12644670,15703057,16581873,18239134
AT1G01200.1	14617066
AT1G01210	17447913
AT1G01220	15703057,17227549,18199744
AT1G01225	15703057,22589469
AT1G01230	15703057,18775970
AT1G01240	12912986,15703057,23517122
AT1G01240.1	12912986
AT1G01250	11118137,14576160,15010618,15703057,16151182,17316173,17885809,18230180,24377444
AT1G01250.1	11118137,16407444
AT1G01260	11118137,12679534,12897250,14600211,15703057,16944199,17828375,18775970,21889054,22037706,23852442,24056034
AT1G01260.1	11118137,12679534
AT1G01270	8980477
AT1G01280	12372144,15703057,16258015,16831835,16920875,17496121,18036205,18433503,19218397,19700560,20118226,20736450,21223384,21849515,23252839
AT1G01280.1	15703057,16258015,17496121
AT1G01290	7890743,14576160,15703057,18315867,18650403,20164445
AT1G01300	14697270,15295017,15695462,15531708,15703057,15755812,16287169,18650403,20351290,23289948
AT1G01300.1	16287169,17432890,23289948
AT1G01305	20032078
AT1G01310	15703057,18775970
AT1G01320	15642518,15632092,15703057,18650403,18775970
AT1G01340	11782485,11500563,12818663,16449377,16944199,17149585,17877833,18650403,18775970,18823330,20210874
AT1G01340.1	11782485
AT1G01350	12023303,11983057,17335513,18221561,18650403,20736450
AT1G01360	15604721,18775970,19407143,19407142,19769575,19874541,20383021,21586729,21885535,21976481,22251383,22829320,23370718,23630285,23844015,24563205,24645846,24828206
AT1G01370	12034896,12663558,16331414,17033808,17028205,17138549,17242155,17555967,18239133,18495926,15861308,20084454,20336146,20628040,20501974,20933291,21190064,21695238,21635586,21771121,21842230,22476443,23525657,24014547,24801345
AT1G01370.1	16262706,17138549,17555967
AT1G01370.2	17555967
AT1G01380	11118137,15063185,15967776,17885086,17931617,18305006,18434419,18644155,19626137,19336467,22253603,22489163,22995285,23326563,23432399,23603939,23796522,24130712
AT1G01380.1	11118137
AT1G01390	18252844,20736450
AT1G01390.1	
AT1G01400	14730060
AT1G01400.1	
AT1G01410	19682068,20214804
AT1G01420	12954621,15352060,16814332,16913859,20736450
AT1G01420.1	
AT1G01430	17316173,18650403,20388664,20657172,20736450
AT1G01440	18775970
AT1G01450	16429265,18775970
AT1G01460	12226484,14500793,14666423,15040888,15949803,16291648,18775970,23505340
AT1G01460.1	15949803
AT1G01470	9666060,11683875,12102506,12068110,12172015,12169696,12481097,12785063,12969430,14982972,14973164,15165189,15448178,15341633,15494554,15743445,16121258,16463051,16623895,16617101,16608451,16920880,16972165,17030801,17316173,17346263,18318901,18441212,18599647,18552355,18552202,18650403,18805951,19656045,21398259,23715470,24841476,25005920
AT1G01470.1	16155204
AT1G01471	17395691
AT1G01471.1	17395691
AT1G01480	9011084,8566772,8219282,1438312,1357670,12968022,14983000,15466221,15699063,15539472,15960614,18182027,16028113,18705666,19752216,20659280,20736450,21533019,21645149,22761583,23979970,24148906,24837830,25082369
AT1G01480.1	1438312,12968022
AT1G01480.2	
AT1G01490	20736450,23368984
AT1G01500	14576160,18775970
AT1G01510	10572032,9736998,9393447,8625845,11889033,11978864,12079678,12615938,11889034,15659438,17972097,18560884,19626137,19843316,21801251,23368817,23672620
AT1G01520	11118137,14576160,15086800,15713015,16463103,16845059,16829591,17316173,24377444
AT1G01520.1	11118137,16463103
AT1G01530	11118137,12169696,12698294,12837945,12949148,15375205,15908605,16899218,20631316
AT1G01530.1	11118137
AT1G01540	12368499,21477822
AT1G01540.1	14506206,17317660
AT1G01540.2	14506206,17317660
AT1G01550	14576160,14551330,15458645,15688252,17217459,17513503,18650403,18716882,18775970,20074142,21291559,22274700,22580686
AT1G01550.1	17217459,17317660
AT1G01550.2	17317660
AT1G01560	11544109,12119167,15266050,15235117,15489280,16146321,16258012,16244138,16537113,17194768,17933903,18315867,18441220,18650403,18783601,21098735,22204645,22147519,22837762,22899057,23818851,24245741,24595057
AT1G01560.1	12119167,16258012,16280546,16537113
AT1G01580	10769179,10067892,8953245,12805609,12787249,14526117,15539473,16006655,15556641,16362328,16845482,16813577,16741749,17085755,18631293,19154225,19121106,19188276,19252923,19448037,18268542,20055961,20627899,20736450,20699398,21325567,21426424,21334215,22476458,22984573,22983953,23590825,23759098,23974911,24192296,24456400,24549117,24711810
AT1G01580.1	18513375
AT1G01590	10067892,15531708,16006655,16362328,16998091,17085755,18631293,20736450
AT1G01600	15709153,16299169,17449808,17427946,18805951,19959665,21637781,23505340
AT1G01600.1	
AT1G01610	12897259,12969431,15295017,15531708,16258012,16299169,17259262,17449808,17991776,18326828,20551224,20736450,21173024,22864585,23505340
AT1G01610.1	17991776
AT1G01620	10938796,10759498,10417707,9276952,7920711,8108519,11500536,16183846,16235111,18650403,18702670,20736450
AT1G01620.1	7920711,15028209,15060130,16183846,16235111,17317660,17432890
AT1G01620.2	17317660,17432890
AT1G01630	14682612,15728190
AT1G01640	15659098,15772280,15749712
AT1G01640.1	15659098
AT1G01650	18067581,18775970
AT1G01660	20736450,21284606
AT1G01670	17521414,20736450
AT1G01680	14966217,18393940,20736450
AT1G01690	14576160,19763177
AT1G01695	22286137
AT1G01700	15860008,15980860,20736450,22500990
AT1G01700.1	15860008,16415208
AT1G01710	14701923,15333753,17951448,18931141,20736450,23505340
AT1G01710.1	17951448
AT1G01720	11118137,11516145,12646039,14750526,15029955,15108305,17031511,17114348,17098812,17619150,18775970,19549833,19704545,19752887,19737096,20736450,21135241,22580707,23079980,24057250,23951554,23798027
AT1G01720.1	11118137
AT1G01725	18650403,18775970
AT1G01730	14576160,16911220,18650403
AT1G01740	12805585,12912986,18653891,21477822
AT1G01740.1	12912986,17317660
AT1G01750	16648215,17220200,17408486,17877706,22253603
AT1G01750.1	
AT1G01760	20736450,23355609
AT1G01760.1	
AT1G01770	15642518,15659355,17573466
AT1G01780	15642518,15659355,15531708,15807784,17573466,18775970,20817848,22209219
AT1G01790	11500563,12766230,15347787,15901827,16460505,16944199,17351049,17660356,17919328,18650403,18775970,22551943,24278440,24794527
AT1G01790.1	11500563,12766230,12938931,15028209,18431481
AT1G01800	16287169,20736450
AT1G01800.1	16287169
